score_differential,yardline_100,game_date,defteam,home_team,away_team,posteam,posteam_type,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,game_half,quarter_end,drive,qtr,down,goal_to_go,shotgun,no_huddle,play_type,ColumnA
0,73,9/7/2017,KC,NE,KC,NE,home,895,1795,3595,Half1,0,1,1,1,0,No,No,pass,"deep,left,deep,left"
0,73,9/7/2017,KC,NE,KC,NE,home,889,1789,3589,Half1,0,1,1,2,0,No,No,pass,"short,right,short,right"
0,65,9/7/2017,KC,NE,KC,NE,home,854,1754,3554,Half1,0,1,1,3,0,Yes,No,run,"left,guard,left,guard"
0,57,9/7/2017,KC,NE,KC,NE,home,832,1732,3532,Half1,0,1,1,1,0,Yes,Yes,run,"middle,middle"
0,54,9/7/2017,KC,NE,KC,NE,home,806,1706,3506,Half1,0,1,1,2,0,Yes,Yes,pass,"deep,left,deep,left"
0,35,9/7/2017,KC,NE,KC,NE,home,782,1682,3482,Half1,0,1,1,1,0,No,Yes,run,"left,tackle,left,tackle"
0,30,9/7/2017,KC,NE,KC,NE,home,755,1655,3455,Half1,0,1,1,2,0,Yes,Yes,pass,"short,left,short,left"
0,2,9/7/2017,KC,NE,KC,NE,home,737,1637,3437,Half1,0,1,1,1,1,No,No,pass,"short,right,short,right"
-7,75,9/7/2017,NE,NE,KC,KC,away,728,1628,3428,Half1,0,2,1,1,0,Yes,No,run,"right,tackle,right,tackle"
7,32,9/7/2017,KC,NE,KC,NE,home,720,1620,3420,Half1,0,3,1,1,0,Yes,No,pass,"deep,left,deep,left"
7,32,9/7/2017,KC,NE,KC,NE,home,715,1615,3415,Half1,0,3,1,2,0,Yes,No,pass,"short,left,short,left"
7,29,9/7/2017,KC,NE,KC,NE,home,681,1581,3381,Half1,0,3,1,3,0,Yes,No,run,"right,guard,right,guard"
7,19,9/7/2017,KC,NE,KC,NE,home,638,1538,3338,Half1,0,3,1,1,0,Yes,No,pass,"deep,left,deep,left"
7,19,9/7/2017,KC,NE,KC,NE,home,634,1534,3334,Half1,0,3,1,2,0,No,No,run,"left,guard,left,guard"
7,15,9/7/2017,KC,NE,KC,NE,home,589,1489,3289,Half1,0,3,1,3,0,Yes,No,pass,"short,middle,short,middle"
7,10,9/7/2017,KC,NE,KC,NE,home,574,1474,3274,Half1,0,3,1,4,0,No,No,run,"middle,middle"
-7,90,9/7/2017,NE,NE,KC,KC,away,565,1465,3265,Half1,0,4,1,1,0,No,No,run,"right,guard,right,guard"
-7,81,9/7/2017,NE,NE,KC,KC,away,528,1428,3228,Half1,0,4,1,2,0,Yes,No,run,"middle,middle"
-7,77,9/7/2017,NE,NE,KC,KC,away,485,1385,3185,Half1,0,4,1,1,0,Yes,No,pass,"short,left,short,left"
-7,63,9/7/2017,NE,NE,KC,KC,away,458,1358,3158,Half1,0,4,1,1,0,Yes,No,pass,"short,left,short,left"
-7,55,9/7/2017,NE,NE,KC,KC,away,425,1325,3125,Half1,0,4,1,2,0,Yes,No,pass,"short,left,short,left"
-7,50,9/7/2017,NE,NE,KC,KC,away,394,1294,3094,Half1,0,4,1,1,0,Yes,No,run,"right,tackle,right,tackle"
-7,41,9/7/2017,NE,NE,KC,KC,away,351,1251,3051,Half1,0,4,1,2,0,Yes,No,pass,"short,middle,short,middle"
-7,38,9/7/2017,NE,NE,KC,KC,away,313,1213,3013,Half1,0,4,1,1,0,Yes,No,pass,"short,middle,short,middle"
-7,27,9/7/2017,NE,NE,KC,KC,away,271,1171,2971,Half1,0,4,1,1,0,Yes,No,pass,"short,right,short,right"
-7,9,9/7/2017,NE,NE,KC,KC,away,236,1136,2936,Half1,0,4,1,1,1,Yes,No,pass,"short,right,short,right"
-7,9,9/7/2017,NE,NE,KC,KC,away,227,1127,2927,Half1,0,4,1,2,1,No,No,run,"middle,middle"
0,75,9/7/2017,KC,NE,KC,NE,home,183,1083,2883,Half1,0,5,1,1,0,Yes,No,run,"left,guard,left,guard"
0,72,9/7/2017,KC,NE,KC,NE,home,152,1052,2852,Half1,0,5,1,2,0,Yes,No,pass,"deep,middle,deep,middle"
0,45,9/7/2017,KC,NE,KC,NE,home,125,1025,2825,Half1,0,5,1,1,0,No,Yes,pass,"short,middle,short,middle"
0,30,9/7/2017,KC,NE,KC,NE,home,96,996,2796,Half1,0,5,1,1,0,No,No,run,"left,end,left,end"
0,12,9/7/2017,KC,NE,KC,NE,home,42,942,2742,Half1,0,5,1,1,0,Yes,No,pass,"short,right,short,right"
0,12,9/7/2017,KC,NE,KC,NE,home,37,937,2737,Half1,0,5,1,2,0,No,No,run,"left,end,left,end"
0,8,9/7/2017,KC,NE,KC,NE,home,23,923,2723,Half1,0,5,1,3,0,Yes,Yes,run,"middle,middle"
-3,55,9/7/2017,NE,NE,KC,KC,away,891,891,2691,Half1,0,6,2,1,0,No,No,pass,"deep,right,deep,right"
-3,55,9/7/2017,NE,NE,KC,KC,away,884,884,2684,Half1,0,6,2,2,0,Yes,No,run,"right,end,right,end"
-3,51,9/7/2017,NE,NE,KC,KC,away,847,847,2647,Half1,0,6,2,3,0,Yes,No,pass,
3,82,9/7/2017,KC,NE,KC,NE,home,797,797,2597,Half1,0,7,2,1,0,No,No,run,"right,end,right,end"
3,78,9/7/2017,KC,NE,KC,NE,home,769,769,2569,Half1,0,7,2,2,0,No,No,run,"right,end,right,end"
3,74,9/7/2017,KC,NE,KC,NE,home,729,729,2529,Half1,0,7,2,3,0,Yes,No,pass,"short,left,short,left"
3,52,9/7/2017,KC,NE,KC,NE,home,691,691,2491,Half1,0,7,2,1,0,Yes,No,pass,"deep,left,deep,left"
3,52,9/7/2017,KC,NE,KC,NE,home,683,683,2483,Half1,0,7,2,2,0,No,No,run,"right,end,right,end"
3,52,9/7/2017,KC,NE,KC,NE,home,644,644,2444,Half1,0,7,2,3,0,Yes,No,pass,"short,right,short,right"
3,36,9/7/2017,KC,NE,KC,NE,home,597,597,2397,Half1,0,7,2,1,0,No,No,run,"left,tackle,left,tackle"
3,20,9/7/2017,KC,NE,KC,NE,home,557,557,2357,Half1,0,7,2,1,0,No,No,run,"left,end,left,end"
3,11,9/7/2017,KC,NE,KC,NE,home,518,518,2318,Half1,0,7,2,2,0,No,No,run,"left,guard,left,guard"
3,7,9/7/2017,KC,NE,KC,NE,home,495,495,2295,Half1,0,7,2,1,1,No,No,run,"right,tackle,right,tackle"
-10,77,9/7/2017,NE,NE,KC,KC,away,442,442,2242,Half1,0,8,2,1,0,Yes,No,run,"right,end,right,end"
-10,74,9/7/2017,NE,NE,KC,KC,away,407,407,2207,Half1,0,8,2,2,0,Yes,No,run,"right,end,right,end"
-10,64,9/7/2017,NE,NE,KC,KC,away,371,371,2171,Half1,0,8,2,1,0,No,No,run,"left,guard,left,guard"
-10,63,9/7/2017,NE,NE,KC,KC,away,329,329,2129,Half1,0,8,2,2,0,Yes,No,run,"right,tackle,right,tackle"
-10,59,9/7/2017,NE,NE,KC,KC,away,285,285,2085,Half1,0,8,2,3,0,Yes,No,pass,
10,60,9/7/2017,KC,NE,KC,NE,home,224,224,2024,Half1,0,9,2,1,0,Yes,No,run,"middle,middle"
10,56,9/7/2017,KC,NE,KC,NE,home,186,186,1986,Half1,0,9,2,2,0,Yes,No,pass,"deep,right,deep,right"
10,56,9/7/2017,KC,NE,KC,NE,home,179,179,1979,Half1,0,9,2,3,0,Yes,No,pass,"short,left,short,left"
-10,96,9/7/2017,NE,NE,KC,KC,away,149,149,1949,Half1,0,10,2,1,0,Yes,No,run,"right,end,right,end"
-10,89,9/7/2017,NE,NE,KC,KC,away,127,127,1927,Half1,0,10,2,2,0,Yes,No,pass,"short,middle,short,middle"
-10,80,9/7/2017,NE,NE,KC,KC,away,120,120,1920,Half1,0,10,2,1,0,Yes,No,pass,"short,left,short,left"
-10,66,9/7/2017,NE,NE,KC,KC,away,93,93,1893,Half1,0,10,2,1,0,Yes,Yes,pass,"short,right,short,right"
-10,53,9/7/2017,NE,NE,KC,KC,away,90,90,1890,Half1,0,10,2,1,0,Yes,No,run,"middle,middle"
-10,46,9/7/2017,NE,NE,KC,KC,away,61,61,1861,Half1,0,10,2,2,0,Yes,Yes,pass,"deep,right,deep,right"
-10,46,9/7/2017,NE,NE,KC,KC,away,57,57,1857,Half1,0,10,2,3,0,Yes,No,pass,"short,middle,short,middle"
-10,34,9/7/2017,NE,NE,KC,KC,away,49,49,1849,Half1,0,10,2,1,0,Yes,No,pass,"short,right,short,right"
-10,30,9/7/2017,NE,NE,KC,KC,away,45,45,1845,Half1,0,10,2,2,0,Yes,No,pass,"short,right,short,right"
-10,29,9/7/2017,NE,NE,KC,KC,away,37,37,1837,Half1,0,10,2,3,0,Yes,No,pass,"short,right,short,right"
-10,1,9/7/2017,NE,NE,KC,KC,away,23,23,1823,Half1,0,10,2,1,1,Yes,No,pass,"short,right,short,right"
-3,75,9/7/2017,NE,NE,KC,KC,away,900,1800,1800,Half2,0,12,3,1,0,No,No,run,"middle,middle"
-3,75,9/7/2017,NE,NE,KC,KC,away,837,1737,1737,Half2,0,12,3,1,0,Yes,No,pass,"short,middle,short,middle"
-3,68,9/7/2017,NE,NE,KC,KC,away,801,1701,1701,Half2,0,12,3,2,0,No,No,pass,"short,right,short,right"
-3,60,9/7/2017,NE,NE,KC,KC,away,754,1654,1654,Half2,0,12,3,3,0,Yes,No,pass,"short,right,short,right"
3,83,9/7/2017,KC,NE,KC,NE,home,713,1613,1613,Half2,0,13,3,1,0,No,No,pass,"deep,left,deep,left"
